temps;Angle Pivot
0361.554; 00020
0000.015; 00040
0000.033; 00020
0000.049; 00020
0000.061; 00020
0000.077; 00040
0000.093; 00040
0000.109; 00020
0000.124; 00040
0000.141; 00040
0000.154; 00040
0000.172; 00020
0000.186; 00020
0000.202; 00040
0000.218; 00040
0000.233; 00040
0000.249; 00040
0000.265; 00040
0000.279; 00040
0000.295; 00060
0000.311; 00020
0000.327; 00020
0000.341; 00060
0000.357; 00040
0000.373; 00020
0000.388; 00020
0000.404; 00060
0000.420; 00000
0000.436; 00040
0000.452; 00020
0000.466; 00040
0000.482; 00040
0000.497; 00040
0000.514; 00040
0000.529; 00020
0000.545; 00020
0000.561; 00040
0000.575; 00040
0000.591; 00040
0000.609; 00040
0000.621; 00040
0000.639; 00040
0000.653; 00040
0000.669; 00040
0000.685; 00020
0000.701; 00040
0000.716; 00040
0000.732; 00040
0000.746; 00040
0000.762; 00040
0000.778; 00040
0000.810; 00060
0000.839; 00040
0000.857; 00040
0000.871; 00040
0000.887; 00060
0000.903; 00020
0000.919; 00040
0000.933; 00040
0000.951; 00040
0000.964; 00040
0000.981; 00040
0000.996; 00040
0001.012; 00040
0001.028; 00020
0001.044; 00060
0001.058; 00020
0001.076; 00040
0001.089; 00020
0001.106; 00040
0001.121; 00020
0001.137; 00040
0001.153; 00040
0001.169; 00020
0001.183; 00040
0001.199; 00020
0001.213; 00020
0001.231; 00060
0001.245; 00040
0001.261; 00040
0001.277; 00060
0001.293; 00060
0001.308; 00020
0001.324; 00020
0001.338; 00040
0001.354; 00040
0001.370; 00040
0001.386; 00040
0001.401; 00040
0001.417; 00040
0001.431; 00040
0001.449; 00020
0001.463; 00020
0001.479; 00040
0001.495; 00040
0001.509; 00040
0001.525; 00060
0001.556; 00040
0001.573; 00040
0001.588; 00040
0001.604; 00040
0001.620; 00060
0001.634; 00040
0001.650; 00040
0001.666; 00020
0001.681; 00060
0001.698; 00040
0001.713; 00020
0001.729; 00040
0001.743; 00060
0001.759; 00040
0001.775; 00060
0001.789; 00060
0001.805; 00040
0001.821; 00040
0001.837; 00020
0001.853; 00040
0001.868; 00020
0001.898; 00040
0001.916; 00040
0001.930; 00040
0001.946; 00020
0001.962; 00020
0001.977; 00060
0001.993; 00040
0002.009; 00040
0002.023; 00040
0002.041; 00020
0002.055; 00040
0002.071; 00040
0002.087; 00040
0002.101; 00060
0002.117; 00040
0002.133; 00000
0002.148; 00060
0002.165; 00060
0002.180; 00060
0002.196; 00040
0002.210; 00020
0002.226; 00020
0002.242; 00060
0002.257; 00040
0002.274; 00040
0002.289; 00060
0002.319; 00020
0002.335; 00040
0002.351; 00040
0002.365; 00040
0002.383; 00040
0002.397; 00020
0002.413; 00020
0002.444; 00020
0002.460; 00040
0002.476; 00000
0002.490; 00040
0002.508; 00020
0002.537; 00020
0002.553; 00020
0002.569; 00020
0002.585; 00040
0002.601; 00020
0002.615; 00060
0002.633; 00040
0002.645; 00020
0002.661; 00020
0002.677; 00020
0002.693; 00040
0002.709; 00040
0002.724; 00040
0002.740; 00020
0002.756; 00040
0002.770; 00040
0002.788; 00040
0002.802; 00000
0002.818; 00040
0002.833; 00040
0002.849; 00020
0002.865; 00040
0002.879; 00060
0002.895; 00060
0002.911; 00020
0002.927; 00040
0002.943; 00020
0002.957; 00000
0002.973; 00040
0002.988; 00060
0003.005; 00060
0003.020; 00040
0003.036; 00020
0003.052; 00060
0003.068; 00040
0003.082; 00020
0003.100; 00020
0003.113; 00020
0003.129; 00020
0003.145; 00020
0003.161; 00060
0003.177; 00020
0003.191; 00040
