temps;Consigne tangage PC;Effort milli N;;temps;Consigne tangage PC;Effort milli N
0,009;51;0;;4,002;51;441
0,03;51;0;;4,015;51;441
0,043;51;-10;;4,024;51;432
0,049;51;-10;;4,032;51;432
0,058;51;0;;4,045;51;432
0,068;51;-10;;4,053;51;422
0,079;51;-10;;4,064;51;422
0,09;51;-10;;4,073;51;432
0,098;51;0;;4,083;51;422
0,109;51;0;;4,103;51;422
0,12;51;-10;;4,113;51;432
0,13;51;-10;;4,132;51;432
0,139;51;0;;4,143;51;432
0,149;51;0;;4,154;51;432
0,158;51;-10;;4,162;51;432
0,169;51;-10;;4,173;51;432
0,179;51;0;;4,184;51;432
0,19;51;0;;4,194;51;432
0,198;51;-10;;4,203;51;432
0,209;51;0;;4,213;51;441
0,218;51;0;;4,222;51;432
0,228;51;-10;;4,241;51;441
0,239;51;0;;4,252;51;432
0,247;51;-10;;4,263;51;441
0,26;51;0;;4,273;51;432
0,269;51;-10;;4,284;51;432
0,277;51;-10;;4,292;51;432
0,288;51;0;;4,303;51;432
0,299;51;-10;;4,312;51;432
0,307;51;-10;;4,322;51;432
0,318;51;0;;4,333;51;441
0,329;51;0;;4,352;51;432
0,339;51;-10;;4,363;51;432
0,348;51;-10;;4,374;51;432
0,358;51;-10;;4,384;51;432
0,369;51;0;;4,393;51;422
0,378;51;-10;;4,403;51;422
0,388;51;-10;;4,412;51;432
0,399;51;-10;;4,423;51;432
0,407;51;0;;4,433;51;432
0,42;51;-10;;4,442;51;441
0,429;51;0;;4,461;51;432
0,437;51;0;;4,474;51;432
0,457;51;-10;;4,482;51;432
0,469;51;-10;;4,495;51;432
0,48;51;0;;4,504;51;432
0,489;51;-10;;4,514;51;432
0,499;51;-10;;4,523;51;432
0,508;51;-10;;4,531;51;432
0,521;51;-10;;4,542;51;441
0,527;51;0;;4,553;51;441
0,54;51;-10;;4,563;51;432
0,55;51;-10;;4,572;51;432
0,559;51;0;;4,583;51;432
0,57;51;0;;4,595;51;441
0,578;51;-10;;4,61;51;432
0,589;51;-10;;4,627;51;422
0,599;51;0;;4,632;51;432
0,608;51;0;;4,642;51;432
0,619;51;-10;;4,653;51;432
0,629;51;0;;4,664;51;432
0,638;51;-10;;4,672;51;432
0,649;51;-10;;4,683;51;441
0,657;51;-10;;4,691;51;432
0,668;51;-10;;4,711;51;432
0,678;51;0;;4,721;51;432
0,687;51;0;;4,732;51;422
0,706;51;0;;4,743;51;422
0,717;51;-10;;4,76;51;422
0,73;51;-10;;4,777;51;432
0,738;51;-10;;4,783;51;422
0,749;51;-10;;4,794;51;422
0,757;51;-10;;4,802;51;422
0,768;51;0;;4,813;51;422
0,779;51;-10;;4,822;51;432
0,787;51;-10;;4,832;51;432
0,798;51;-10;;4,843;51;432
0,809;51;-10;;4,854;51;432
0,819;51;0;;4,862;51;441
0,828;51;0;;4,873;51;432
0,838;51;-10;;4,881;51;441
0,847;51;0;;4,892;51;441
0,858;51;-10;;4,903;51;441
0,868;51;-10;;4,911;51;441
0,877;51;0;;4,924;51;451
0,89;51;-10;;4,937;51;451
0,9;51;0;;4,941;51;441
0,907;51;0;;4,952;51;451
0,917;51;-10;;4,962;51;441
0,928;51;-10;;4,971;51;432
0,939;51;0;;4,982;51;441
0,947;51;-10;;4,992;51;441
0,958;51;0;;5,001;51;432
